Rank,Player,Team,Pos,Snaps,Rating (EPA),Press%
1,Patrick Mekari,JAX,OL,1062,0.2376551,0.0527306967984934
2,Ronnie Stanley,BAL,OL,1147,0.22605518,0.05231037489102
3,Tyler Linderbaum,BAL,OL,1153,0.22364597,0.0537727666955767
4,Daniel Faalele,BAL,OL,1164,0.22194165,0.0541237113402061
5,Roger Rosengarten,BAL,OL,1003,0.2163599,0.0578265204386839
6,Dion Dawkins,BUF,OL,1092,0.21296757,0.0604395604395604
7,Connor McGovern,BUF,OL,1089,0.2116799,0.0587695133149678
8,David Edwards,BUF,OL,1104,0.20862901,0.0597826086956521
9,Spencer Brown,BUF,OL,1058,0.2081584,0.0576559546313799
10,O'Cyrus Torrence,BUF,OL,1132,0.20663162,0.058303886925795
11,Taylor Decker,DET,OL,922,0.1967171,0.0900216919739696
12,Kevin Zeitler,TEN,OL,1007,0.18712747,0.0794438927507447
13,Luke Goedeke,TB,OL,902,0.1669489,0.0465631929046563
14,Penei Sewell,DET,OL,1162,0.16420175,0.0817555938037865
15,Frank Ragnow,DET,OL,1085,0.16137606,0.0829493087557603
16,Graham Glasgow,DET,OL,1098,0.15492992,0.0837887067395264
17,Lane Johnson,PHI,OL,1127,0.1435336,0.0629991126885536
18,Sam Cosmi,WAS,OL,1185,0.1383317,0.070886075949367
19,Cody Mauch,TB,OL,1121,0.13293836,0.0526315789473684
20,Ben Bredeson,TB,OL,1116,0.13283777,0.0528673835125448
21,Tristan Wirfs,TB,OL,1011,0.13247102,0.0553907022749752
22,Landon Dickerson,PHI,OL,1165,0.13157229,0.0686695278969957
23,Cam Jurgens,PHI,OL,1210,0.12943554,0.068595041322314
24,Nick Allegretti,WAS,OL,1295,0.12923953,0.0687258687258687
25,Graham Barton,TB,OL,1054,0.12593448,0.0540796963946869
26,Jordan Mailata,PHI,OL,1004,0.12583931,0.0677290836653386
27,Tyler Biadasz,WAS,OL,1104,0.12430238,0.0634057971014492
28,Andrew Wylie,WAS,OL,1059,0.11798472,0.0670443814919735
29,Mekhi Becton,LAC,OL,1093,0.11044392,0.0686184812442818
30,Brandon Coleman,WAS,OL,957,0.10538338,0.0731452455590386
31,Cordell Volson,CIN,OL,929,0.09111313,0.1065662002152852
32,Ted Karras,CIN,OL,1069,0.09017815,0.1141253507951356
33,Kelvin Beachum,ARI,OL,704,0.089647084,0.0440340909090909
34,Alex Cappa,LV,OL,1065,0.08543959,0.1145539906103286
35,Josh Myers,NYJ,OL,1003,0.08187914,0.0727816550348953
36,Colton McKivitz,SF,OL,999,0.08178705,0.076076076076076
37,Amarius Mims,CIN,OL,784,0.08084864,0.1186224489795918
38,Jawaan Taylor,KC,OL,1175,0.07824594,0.1114893617021276
39,Joe Thuney,CHI,OL,1196,0.078002,0.1112040133779264
40,Trey Smith,KC,OL,1196,0.078002,0.1112040133779264
41,Creed Humphrey,KC,OL,1196,0.078002,0.1112040133779264
42,Elgton Jenkins,GB,OL,1015,0.07599983,0.0719211822660098
43,Jake Brendel,SF,OL,1009,0.07258772,0.0763131813676907
44,Zach Tom,GB,OL,1069,0.07113546,0.0729653882132834
45,Dominick Puni,SF,OL,1013,0.0674243,0.0760118460019743
46,Rasheed Walker,GB,OL,1074,0.06703228,0.0726256983240223
47,Evan Brown,ARI,OL,1005,0.06565645,0.0517412935323383
48,Hjalte Froholdt,ARI,OL,1013,0.062864795,0.0513326752221125
49,Paris Johnson Jr.,ARI,OL,815,0.058895852,0.0503067484662576
50,Aaron Banks,GB,OL,729,0.05209944,0.0795610425240054
51,Matthew Bergeron,ATL,OL,1037,0.050713256,0.0800385728061716
52,Sean Rhyan,GB,OL,971,0.049234964,0.0772399588053553
53,Terron Armstead,MIA,OL,784,0.046362985,0.0676020408163265
54,Kaleb McGary,ATL,OL,981,0.04428058,0.0795107033639143
55,Chris Lindstrom,ATL,OL,1031,0.040935572,0.0853540252182347
56,Jake Matthews,ATL,OL,1050,0.040254988,0.0838095238095238
57,Beaux Limmer,LA,OL,977,0.028510636,0.0921187308085977
58,Mike McGlinchey,DEN,OL,849,0.026901865,0.0565371024734982
59,Zion Johnson,LAC,OL,1030,0.026668383,0.1097087378640776
60,Joe Alt,LAC,OL,997,0.025926849,0.1053159478435305
61,Luke Wattenberg,DEN,OL,818,0.019778142,0.0586797066014669
62,Alaric Jackson,LA,OL,954,0.018224664,0.0859538784067086
63,Rashawn Slater,LAC,OL,894,0.018101253,0.1096196868008948
64,Bradley Bozeman,LAC,OL,1040,0.016025914,0.110576923076923
65,Trey Pipkins,LAC,OL,781,0.01514611,0.1190781049935979
66,Ben Powers,DEN,OL,1070,0.012503795,0.0588785046728971
67,Quinn Meinerz,DEN,OL,1067,0.012490744,0.0590440487347703
68,Garett Bolles,DEN,OL,1052,0.009998116,0.0579847908745247
69,Kevin Dotson,LA,OL,1080,0.006440211,0.0944444444444444
70,Rob Havenstein,LA,OL,761,0.0057995277,0.0867279894875164
71,Ezra Cleveland,JAX,OL,872,0.0052931015,0.0688073394495412
72,Brian O'Neill,MIN,OL,1063,-0.0009925656,0.0978363123236124
73,Cesar Ruiz,NO,OL,765,-0.0045868587,0.0692810457516339
74,Anton Harrison,JAX,OL,904,-0.0056989514,0.0608407079646017
75,Mitch Morse,JAX,OL,980,-0.007885541,0.0693877551020408
76,Blake Brandel,MIN,OL,1100,-0.009885572,0.1018181818181818
77,Garrett Bradbury,NE,OL,1100,-0.009885572,0.1018181818181818
78,Taylor Moton,CAR,OL,805,-0.010225283,0.084472049689441
79,Broderick Jones,PIT,OL,1059,-0.01625918,0.1076487252124645
80,Joe Tippmann,NYJ,OL,1013,-0.016975813,0.0927936821322803
81,Alijah Vera-Tucker,NYJ,OL,870,-0.019194826,0.0919540229885057
82,Brandon Scherff,JAX,OL,972,-0.02293968,0.0668724279835391
83,Isaac Seumalo,PIT,OL,836,-0.025777733,0.1136363636363636
84,Liam Eichenberg,MIA,OL,981,-0.02639923,0.0693170234454638
85,Juice Scruggs,HOU,OL,889,-0.028786158,0.0967379077615298
86,John Simpson,NYJ,OL,970,-0.029057447,0.0938144329896907
87,Charles Cross,SEA,OL,1014,-0.031322032,0.1114398422090729
88,Laken Tomlinson,BAL,OL,1014,-0.031322032,0.1114398422090729
89,Mason McCormick,PIT,OL,891,-0.032409202,0.1043771043771043
90,Robert Jones,DAL,OL,1017,-0.032835674,0.0727630285152409
91,Cam Robinson,CLE,OL,1008,-0.03432904,0.0982142857142857
92,Dan Moore Jr.,TEN,OL,1067,-0.036389295,0.1040299906279287
93,Aaron Brewer,MIA,OL,1075,-0.03667071,0.0744186046511627
94,Vederian Lowe,NE,OL,750,-0.037736863,0.096
95,Shaq Mason,HOU,OL,941,-0.038606614,0.1094580233793836
96,Bernhard Raimann,IND,OL,821,-0.040083718,0.0682095006090134
97,Tytus Howard,HOU,OL,1090,-0.047218226,0.1137614678899082
98,Zach Frazier,PIT,OL,965,-0.050709747,0.1088082901554404
99,Damien Lewis,CAR,OL,899,-0.052969735,0.0912124582869855
100,Laremy Tunsil,WAS,OL,1103,-0.05453992,0.1124206708975521
101,Matt Pryor,PHI,OL,940,-0.055478565,0.1
102,Quenton Nelson,IND,OL,1031,-0.05571583,0.078564500484966
103,Demontrey Jacobs,ARI,OL,806,-0.056982215,0.1017369727047146
104,Trevor Penning,LAC,OL,1021,-0.0572729,0.0832517140058766
105,Taliese Fuaga,NO,OL,1011,-0.058742553,0.0840751730959446
106,Ikem Ekwonu,CAR,OL,867,-0.06054848,0.0888119953863898
107,Darnell Wright,CHI,OL,950,-0.061847743,0.0926315789473684
108,Robert Hunt,CAR,OL,921,-0.07943908,0.0922909880564603
109,Coleman Shelton,LA,OL,1051,-0.07962225,0.1018078020932445
110,Mike Onwenu,NE,OL,954,-0.09037214,0.1121593291404612
111,Jermaine Eluemunor,NYG,OL,866,-0.093160704,0.102771362586605
112,Tyler Smith,DAL,OL,984,-0.09552809,0.0833333333333333
113,Terence Steele,DAL,OL,1093,-0.10442234,0.0795974382433668
114,Greg Van Roten,NYG,OL,1050,-0.11012736,0.1171428571428571
115,Peter Skoronski,TEN,OL,1030,-0.11610107,0.1058252427184466
116,JC Latham,TEN,OL,1030,-0.11610107,0.1058252427184466
117,Jon Runyan,NYG,OL,793,-0.11977696,0.1261034047919293
118,Cooper Beebe,DAL,OL,990,-0.1273131,0.0797979797979798
119,DJ Glaze,LV,OL,933,-0.13351122,0.097534833869239
120,Kolton Miller,LV,OL,1006,-0.13418366,0.0934393638170974
121,Jackson Powers-Johnson,LV,OL,895,-0.1346705,0.0960893854748603
122,Dylan Parham,LV,OL,825,-0.13644803,0.0933333333333333
123,Dillon Radunz,NO,OL,848,-0.14213035,0.1120283018867924
124,John Michael Schmitz,NYG,OL,920,-0.1446303,0.125
125,Jack Conklin,CLE,OL,780,-0.17556727,0.1115384615384615
126,Joel Bitonio,CLE,OL,1118,-0.18213677,0.1332737030411449
127,Wyatt Teller,CLE,OL,842,-0.19098905,0.1270783847980997
128,Ethan Pocic,CLE,OL,1020,-0.19145107,0.1303921568627451
